// trade log:
trade 209: size: -20, entry: 5198.5 at tick 2219, exit: 5197.759765625 at tick 2219, pnl: 14.8046875
trade 210: size: -20, entry: 5198.75 at tick 2221, exit: 5198.97021484375 at tick 2222, pnl: -4.404296875
trade 211: size: -20, entry: 5199.97021484375 at tick 2224, exit: 5198.9501953125 at tick 2226, pnl: 20.400390625
trade 212: size: -20, entry: 5195.5400390625 at tick 2250, exit: 5194.7998046875 at tick 2251, pnl: 14.8046875
trade 213: size: -20, entry: 5195.47998046875 at tick 2267, exit: 5195.9501953125 at tick 2268, pnl: -9.404296875
trade 214: size: -20, entry: 5196.93994140625 at tick 2270, exit: 5197.4501953125 at tick 2271, pnl: -10.205078125
trade 215: size: -20, entry: 5197.1201171875 at tick 2289, exit: 5197.8701171875 at tick 2290, pnl: -15
trade 216: size: -20, entry: 5198.85986328125 at tick 2292, exit: 5196.8701171875 at tick 2293, pnl: 39.794921875
trade 217: size: -20, entry: 5198.830078125 at tick 2301, exit: 5199.33984375 at tick 2302, pnl: -10.1953125
trade 218: size: -20, entry: 5199.080078125 at tick 2313, exit: 5199.2998046875 at tick 2315, pnl: -4.39453125
trade 219: size: -20, entry: 5199.5498046875 at tick 2323, exit: 5197.7900390625 at tick 2331, pnl: 35.1953125
trade 220: size: -20, entry: 5199.52978515625 at tick 2345, exit: 5200.52978515625 at tick 2346, pnl: -20
trade 221: size: -20, entry: 5203.52978515625 at tick 2348, exit: 5202.77001953125 at tick 2349, pnl: 15.1953125
trade 222: size: -20, entry: 5200.759765625 at tick 2365, exit: 5202.259765625 at tick 2366, pnl: -30
trade 223: size: -20, entry: 5203.259765625 at tick 2368, exit: 5203.5 at tick 2369, pnl: -4.8046875
trade 224: size: -20, entry: 5204.25 at tick 2374, exit: 5205.27001953125 at tick 2375, pnl: -20.400390625
trade 225: size: -20, entry: 5206.259765625 at tick 2377, exit: 5206.27001953125 at tick 2381, pnl: -0.205078125
trade 226: size: -20, entry: 5206.759765625 at tick 2390, exit: 5208.240234375 at tick 2391, pnl: -29.609375
trade 227: size: -20, entry: 5208.25 at tick 2393, exit: 5207.009765625 at tick 2396, pnl: 24.8046875
trade 228: size: -20, entry: 5206 at tick 2401, exit: 5201.25 at tick 2419, pnl: 95
trade 229: size: -20, entry: 5203 at tick 2423, exit: 5203.240234375 at tick 2424, pnl: -4.8046875
trade 230: size: -20, entry: 5203.490234375 at tick 2437, exit: 5203.009765625 at tick 2438, pnl: 9.609375
trade 231: size: -20, entry: 5202.759765625 at tick 2456, exit: 5202.240234375 at tick 2459, pnl: 10.390625
trade 232: size: -20, entry: 5201.490234375 at tick 2482, exit: 5202.009765625 at tick 2489, pnl: -10.390625
trade 233: size: -20, entry: 5201.25 at tick 2513, exit: 5201.009765625 at tick 2513, pnl: 4.8046875
trade 234: size: -20, entry: 5201.490234375 at tick 2516, exit: 5200.240234375 at tick 2523, pnl: 25
trade 235: size: -20, entry: 5200.009765625 at tick 2545, exit: 5200.5 at tick 2546, pnl: -9.8046875
trade 236: size: -20, entry: 5201.259765625 at tick 2548, exit: 5200.509765625 at tick 2549, pnl: 15
trade 237: size: -20, entry: 5200.740234375 at tick 2559, exit: 5201 at tick 2560, pnl: -5.1953125
trade 238: size: -20, entry: 5200.75 at tick 2583, exit: 5201 at tick 2588, pnl: -5
trade 239: size: -20, entry: 5201.5 at tick 2593, exit: 5201.5 at tick 2598, pnl: -0
trade 240: size: -20, entry: 5201.240234375 at tick 2613, exit: 5201.009765625 at tick 2613, pnl: 4.609375
trade 241: size: -20, entry: 5201.240234375 at tick 2617, exit: 5201 at tick 2619, pnl: 4.8046875
trade 242: size: -20, entry: 5201.5 at tick 2623, exit: 5202.240234375 at tick 2624, pnl: -14.8046875
trade 243: size: -20, entry: 5202.509765625 at tick 2626, exit: 5202.240234375 at tick 2629, pnl: 5.390625
trade 244: size: -20, entry: 5202.5 at tick 2633, exit: 5202.25 at tick 2642, pnl: 5
trade 245: size: -20, entry: 5200.509765625 at tick 2668, exit: 5200.740234375 at tick 2674, pnl: -4.609375
trade 246: size: -20, entry: 5201.490234375 at tick 2676, exit: 5201.009765625 at tick 2677, pnl: 9.609375
trade 247: size: -20, entry: 5201 at tick 2687, exit: 5200.75 at tick 2689, pnl: 5
